Stratifying data
Stratifying data
Window size: (7, 7)
38 Accuracy:  63.687150837988824  predictions:  {0: 1386, 1: 994, 2: 126}
39 Accuracy:  64.24581005586593  predictions:  {0: 1183, 1: 1078, 2: 245}
40 Accuracy:  63.44772545889864  predictions:  {0: 1361, 1: 968, 2: 177}
41 Accuracy:  63.84676775738228  predictions:  {0: 1442, 1: 918, 2: 146}
42 Accuracy:  64.68475658419793  predictions:  {0: 1376, 1: 1002, 2: 128}
43 Accuracy:  64.88427773343975  predictions:  {0: 1448, 1: 885, 2: 173}
44 Accuracy:  64.12609736632083  predictions:  {0: 1539, 1: 848, 2: 119}
45 Accuracy:  65.28332003192338  predictions:  {0: 1412, 1: 933, 2: 161}
46 Accuracy:  65.00399042298484  predictions:  {0: 1426, 1: 839, 2: 241}
47 Accuracy:  63.64724660814046  predictions:  {0: 1598, 1: 798, 2: 110}
48 Accuracy:  64.64485235434955  predictions:  {0: 1435, 1: 918, 2: 153}
49 Accuracy:  64.84437350359138  predictions:  {0: 1418, 1: 927, 2: 161}
Stratifying data
Stratifying data
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  60.60970718010429  predictions:  {0: 1672, 1: 821}
1 Accuracy:  62.053750501403925  predictions:  {0: 1275, 1: 1198, 2: 20}
2 Accuracy:  63.73846770958684  predictions:  {0: 1302, 1: 1140, 2: 51}
3 Accuracy:  63.61813076614521  predictions:  {0: 1504, 1: 932, 2: 57}
4 Accuracy:  64.13959085439231  predictions:  {0: 1504, 1: 927, 2: 62}
5 Accuracy:  64.98194945848375  predictions:  {0: 1435, 1: 965, 2: 93}
6 Accuracy:  64.94183714400322  predictions:  {0: 1435, 1: 974, 2: 84}
7 Accuracy:  65.58363417569194  predictions:  {0: 1315, 1: 1072, 2: 106}
8 Accuracy:  65.62374649017248  predictions:  {0: 1389, 1: 1002, 2: 102}
9 Accuracy:  65.1022864019254  predictions:  {0: 1397, 1: 929, 2: 167}
10 Accuracy:  65.22262334536703  predictions:  {0: 1351, 1: 1008, 2: 134}
11 Accuracy:  65.54352186121139  predictions:  {0: 1366, 1: 1006, 2: 121}
12 Accuracy:  66.06498194945848  predictions:  {0: 1395, 1: 931, 2: 167}
13 Accuracy:  65.9045326915363  predictions:  {0: 1380, 1: 973, 2: 140}
14 Accuracy:  66.14520657841958  predictions:  {0: 1431, 1: 921, 2: 141}
15 Accuracy:  65.46329723225031  predictions:  {0: 1391, 1: 989, 2: 113}
16 Accuracy:  66.18531889290013  predictions:  {0: 1336, 1: 974, 2: 183}
17 Accuracy:  65.86442037705575  predictions:  {0: 1302, 1: 990, 2: 201}
18 Accuracy:  66.26554352186122  predictions:  {0: 1359, 1: 977, 2: 157}
19 Accuracy:  65.9045326915363  predictions:  {0: 1386, 1: 986, 2: 121}
20 Accuracy:  65.30284797432812  predictions:  {0: 1366, 1: 974, 2: 153}
21 Accuracy:  65.50340954673085  predictions:  {0: 1400, 1: 946, 2: 147}
22 Accuracy:  65.42318491776975  predictions:  {0: 1356, 1: 900, 2: 237}
23 Accuracy:  65.18251103088647  predictions:  {0: 1393, 1: 977, 2: 123}
24 Accuracy:  65.54352186121139  predictions:  {0: 1472, 1: 921, 2: 100}
25 Accuracy:  65.42318491776975  predictions:  {0: 1399, 1: 972, 2: 122}
