Stratifying data
Window size: (7, 7)
20 Accuracy:  70.07401480296059  predictions:  {0: 2762, 1: 1982, 2: 255}
21 Accuracy:  69.0738147629526  predictions:  {0: 2592, 1: 2194, 2: 213}
22 Accuracy:  70.29405881176235  predictions:  {0: 2821, 1: 1919, 2: 259}
23 Accuracy:  70.23404680936187  predictions:  {0: 2762, 1: 2011, 2: 226}
24 Accuracy:  70.07401480296059  predictions:  {0: 2774, 1: 2009, 2: 216}
25 Accuracy:  69.9739947989598  predictions:  {0: 2673, 1: 2120, 2: 206}
26 Accuracy:  69.13382676535306  predictions:  {0: 3000, 1: 1863, 2: 136}
27 Accuracy:  70.19403880776154  predictions:  {0: 2844, 1: 1913, 2: 242}
28 Accuracy:  69.873974794959  predictions:  {0: 2815, 1: 1951, 2: 233}
29 Accuracy:  69.55391078215644  predictions:  {0: 2669, 1: 2094, 2: 236}
30 Accuracy:  70.15403080616123  predictions:  {0: 2690, 1: 2049, 2: 260}
31 Accuracy:  68.79375875175035  predictions:  {0: 2773, 1: 2103, 2: 123}
32 Accuracy:  70.03400680136028  predictions:  {0: 2721, 1: 1999, 2: 279}
33 Accuracy:  68.85377075415083  predictions:  {0: 3002, 1: 1830, 2: 167}
34 Accuracy:  69.67393478695739  predictions:  {0: 2887, 1: 1861, 2: 251}
35 Accuracy:  69.73394678935787  predictions:  {0: 2747, 1: 2059, 2: 193}
36 Accuracy:  69.91398279655931  predictions:  {0: 2751, 1: 2012, 2: 236}
37 Accuracy:  69.83396679335867  predictions:  {0: 2766, 1: 1978, 2: 255}
38 Accuracy:  69.93398679735947  predictions:  {0: 2765, 1: 1994, 2: 240}
39 Accuracy:  69.35387077415484  predictions:  {0: 2879, 1: 1968, 2: 152}
40 Accuracy:  69.67393478695739  predictions:  {0: 2777, 1: 1967, 2: 255}
41 Accuracy:  69.59391878375675  predictions:  {0: 2724, 1: 2033, 2: 242}
42 Accuracy:  69.73394678935787  predictions:  {0: 2752, 1: 1968, 2: 279}
43 Accuracy:  70.33406681336267  predictions:  {0: 2808, 1: 1926, 2: 265}
44 Accuracy:  69.79395879175834  predictions:  {0: 2695, 1: 2078, 2: 226}
45 Accuracy:  68.21364272854571  predictions:  {0: 2517, 1: 2287, 2: 195}
46 Accuracy:  69.41388277655531  predictions:  {0: 2775, 1: 1993, 2: 231}
47 Accuracy:  69.27385477095419  predictions:  {0: 2900, 1: 1903, 2: 196}
48 Accuracy:  70.25405081016203  predictions:  {0: 2795, 1: 1938, 2: 266}
49 Accuracy:  69.39387877575514  predictions:  {0: 2721, 1: 2015, 2: 263}
Stratifying data
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  66.25325065013003  predictions:  {0: 2353, 1: 2413, 2: 233}
1 Accuracy:  69.17383476695339  predictions:  {0: 2741, 1: 1987, 2: 271}
2 Accuracy:  68.99379875975194  predictions:  {0: 2563, 1: 2156, 2: 280}
3 Accuracy:  68.65373074614924  predictions:  {0: 2763, 1: 2061, 2: 175}
4 Accuracy:  68.99379875975194  predictions:  {0: 2665, 1: 2104, 2: 230}
5 Accuracy:  69.03380676135227  predictions:  {0: 2716, 1: 2091, 2: 192}
6 Accuracy:  69.09381876375275  predictions:  {0: 2732, 1: 2096, 2: 171}
7 Accuracy:  70.13402680536107  predictions:  {0: 2689, 1: 2031, 2: 279}
8 Accuracy:  69.0738147629526  predictions:  {0: 2654, 1: 2132, 2: 213}
9 Accuracy:  69.67393478695739  predictions:  {0: 2709, 1: 2027, 2: 263}
